lon,lat,state
32.8006671,-86.79113,"Alabama
Alzheimer's disease - 1268
Cancer - 9812
CLRD - 2434
Diabetes - 1414
Heart disease - 13150
Influenza and pneumonia - 1157
Kidney disease - 1062
Stroke - 3028
Suicide - 521
Unintentional injuries - 2179
"
61.370716,-152.404419,"Alaska
Alzheimer's disease - 56
Cancer - 735
CLRD - 147
Diabetes - 102
Heart disease - 626
Influenza and pneumonia - 60
Kidney disease - 28
Stroke - 185
Suicide - 124
Unintentional injuries - 321
"
33.729759,-111.431221,"Arizona
Alzheimer's disease - 1703
Cancer - 9627
CLRD - 2560
Diabetes - 1153
Heart disease - 10887
Influenza and pneumonia - 1286
Kidney disease - 563
Stroke - 2428
Suicide - 840
Unintentional injuries - 2697
"
34.969704,-92.373123,"Arkansas
Alzheimer's disease - 552
Cancer - 6119
CLRD - 1500
Diabetes - 884
Heart disease - 7786
Influenza and pneumonia - 921
Kidney disease - 526
Stroke - 2107
Suicide - 374
Unintentional injuries - 1304
"
36.116203,-119.681564,"Califronia
Alzheimer's disease - 6585
Cancer - 54319
CLRD - 13448
Diabetes - 7093
Heart disease - 68864
Influenza and pneumonia - 8185
Kidney disease - 2334
Stroke - 17692
Suicide - 3397
Unintentional injuries - 10471
"
39.059811,-105.311104,"Colorado
Alzheimer's disease - 899
Cancer - 6417
CLRD - 1931
Diabetes - 708
Heart disease - 6499
Influenza and pneumonia - 810
Kidney disease - 409
Stroke - 1813
Suicide - 728
Unintentional injuries - 1806
"
41.5997782,-72.755371,"Connecticut
Alzheimer's disease - 612
Cancer - 7131
CLRD - 1445
Diabetes - 665
Heart disease - 8389
Influenza and pneumonia - 860
Kidney disease - 567
Stroke - 1828
Suicide - 272
Unintentional injuries - 1112
"
39.318523,-75.507141,"DC
Alzheimer's disease - 95
Cancer - 1122
CLRD - 137
Diabetes - 179
Heart disease - 1630
Influenza and pneumonia - 87
Kidney disease - 81
Stroke - 257
Suicide - 36
Unintentional injuries - 233
"
38.897438,-77.026817,"Delaware
Alzheimer's disease - 147
Cancer - 1719
CLRD - 339
Diabetes - 239
Heart disease - 2027
Influenza and pneumonia - 127
Kidney disease - 130
Stroke - 407
Suicide - 94
Unintentional injuries - 287
"
27.766279,-81.686783,"Florida
Alzheimer's disease - 4316
Cancer - 39404
CLRD - 9087
Diabetes - 4762
Heart disease - 48141
Influenza and pneumonia - 2996
Kidney disease - 2265
Stroke - 9899
Suicide - 2297
Unintentional injuries - 7919
"
33.040619,-83.643074,"Georgia
Alzheimer's disease - 1630
Cancer - 14032
CLRD - 3254
Diabetes - 1717
Heart disease - 17188
Influenza and pneumonia - 1687
Kidney disease - 1471
Stroke - 4301
Suicide - 972
Unintentional injuries - 3528
"
21.094318,-157.498337,"Hawaii
Alzheimer's disease - 161
Cancer - 2133
CLRD - 287
Diabetes - 202
Heart disease - 2461
Influenza and pneumonia - 237
Kidney disease - 123
Stroke - 752
Suicide - 131
Unintentional injuries - 415
"
44.240459,-114.478828,"Idaho
Alzheimer's disease - 355
Cancer - 2321
CLRD - 601
Diabetes - 358
Heart disease - 2566
Influenza and pneumonia - 334
Kidney disease - 97
Stroke - 762
Suicide - 217
Unintentional injuries - 605
"
40.349457,-88.986137,"Illinios
Alzheimer's disease - 2626
Cancer - 24464
CLRD - 4858
Diabetes - 3044
Heart disease - 29816
Influenza and pneumonia - 2875
Kidney disease - 2297
Stroke - 6909
Suicide - 1011
Unintentional injuries - 3942
"
39.849457,-86.258278,"Indiana
Alzheimer's disease - 1515
Cancer - 12933
CLRD - 3264
Diabetes - 1731
Heart disease - 15467
Influenza and pneumonia - 1365
Kidney disease - 1235
Stroke - 3627
Suicide - 736
Unintentional injuries - 2196
"
42.011539,-93.210526,"Iowa
Alzheimer's disease - 887
Cancer - 6469
CLRD - 1674
Diabetes - 727
Heart disease - 7840
Influenza and pneumonia - 1032
Kidney disease - 241
Stroke - 2081
Suicide - 352
Unintentional injuries - 1164
"
38.5266,-96.726486,"Kansas
Alzheimer's disease - 781
Cancer - 5332
CLRD - 1443
Diabetes - 676
Heart disease - 6491
Influenza and pneumonia - 694
Kidney disease - 531
Stroke - 1758
Suicide - 347
Unintentional injuries - 1089
"
37.66814,-84.670067,"Kentucky
Alzheimer's disease - 1072
Cancer - 9378
CLRD - 2391
Diabetes - 1296
Heart disease - 11319
Influenza and pneumonia - 1033
Kidney disease - 838
Stroke - 2442
Suicide - 567
Unintentional injuries - 2270
"
31.169546,-91.867805,"Louisiana
Alzheimer's disease - 1184
Cancer - 9533
CLRD - 1731
Diabetes - 1740
Heart disease - 11540
Influenza and pneumonia - 915
Kidney disease - 1065
Stroke - 2526
Suicide - 461
Unintentional injuries - 2208
"
44.693947,-69.381927,"Maine
Alzheimer's disease - 467
Cancer - 3120
CLRD - 782
Diabetes - 398
Heart disease - 3106
Influenza and pneumonia - 327
Kidney disease - 265
Stroke - 802
Suicide - 137
Unintentional injuries - 516
"
39.063946,-76.802101,"Maryland
Alzheimer's disease - 865
Cancer - 10292
CLRD - 1986
Diabetes - 1454
Heart disease - 12164
Influenza and pneumonia - 1175
Kidney disease - 583
Stroke - 2734
Suicide - 491
Unintentional injuries - 1432
"
42.230171,-71.530106,"Massachusetts
Alzheimer's disease - 1609
Cancer - 13551
CLRD - 2765
Diabetes - 1424
Heart disease - 14634
Influenza and pneumonia - 2019
Kidney disease - 1286
Stroke - 3407
Suicide - 433
Unintentional injuries - 1421
"
