lon,lat,state
32.8006671,-86.79113,"Alabama
Alzheimer's disease - 2507
Cancer - 10419
CLRD - 3326
Diabetes - 1183
Heart disease - 12832
Influenza and pneumonia - 987
Kidney disease - 1012
Stroke - 2967
Suicide - 788
Unintentional injuries - 2755
"
61.370716,-152.404419,"Alaska
Alzheimer's disease - 111
Cancer - 995
CLRD - 238
Diabetes - 124
Heart disease - 831
Influenza and pneumonia - 61
Kidney disease - 53
Stroke - 196
Suicide - 193
Unintentional injuries - 439
"
33.729759,-111.431221,"Arizona
Alzheimer's disease - 3082
Cancer - 11876
CLRD - 3800
Diabetes - 2025
Heart disease - 11957
Influenza and pneumonia - 885
Kidney disease - 487
Stroke - 2556
Suicide - 1271
Unintentional injuries - 4010
"
34.969704,-92.373123,"Arkansas
Alzheimer's disease - 1475
Cancer - 6612
CLRD - 2169
Diabetes - 920
Heart disease - 8090
Influenza and pneumonia - 623
Kidney disease - 722
Stroke - 1643
Suicide - 555
Unintentional injuries - 1604
"
36.116203,-119.681564,"Califronia
Alzheimer's disease - 15570
Cancer - 59515
CLRD - 13710
Diabetes - 9124
Heart disease - 61573
Influenza and pneumonia - 5981
Kidney disease - 3640
Stroke - 15680
Suicide - 4294
Unintentional injuries - 13213
"
39.059811,-105.311104,"Colorado
Alzheimer's disease - 1835
Cancer - 7928
CLRD - 2575
Diabetes - 938
Heart disease - 7277
Influenza and pneumonia - 533
Kidney disease - 491
Stroke - 1927
Suicide - 1168
Unintentional injuries - 2880
"
41.5997782,-72.755371,"Connecticut
Alzheimer's disease - 1035
Cancer - 6696
CLRD - 1425
Diabetes - 699
Heart disease - 7051
Influenza and pneumonia - 572
Kidney disease - 570
Stroke - 1269
Suicide - 397
Unintentional injuries - 1978
"
39.318523,-75.507141,"DC
Alzheimer's disease - 120
Cancer - 1044
CLRD - 152
Diabetes - 127
Heart disease - 1375
Influenza and pneumonia - 78
Kidney disease - 57
Stroke - 252
Suicide - 40
Unintentional injuries - 401
"
38.897438,-77.026817,"Delaware
Alzheimer's disease - 329
Cancer - 2124
CLRD - 544
Diabetes - 203
Heart disease - 1974
Influenza and pneumonia - 132
Kidney disease - 208
Stroke - 506
Suicide - 119
Unintentional injuries - 516
"
27.766279,-81.686783,"Florida
Alzheimer's disease - 7155
Cancer - 44266
CLRD - 11970
Diabetes - 5782
Heart disease - 45659
Influenza and pneumonia - 2808
Kidney disease - 3144
Stroke - 11854
Suicide - 3143
Unintentional injuries - 12561
"
33.040619,-83.643074,"Georgia
Alzheimer's disease - 4021
Cancer - 17184
CLRD - 4805
Diabetes - 2238
Heart disease - 18143
Influenza and pneumonia - 1423
Kidney disease - 1864
Stroke - 4349
Suicide - 1409
Unintentional injuries - 4701
"
21.094318,-157.498337,"Hawaii
Alzheimer's disease - 445
Cancer - 2401
CLRD - 342
Diabetes - 285
Heart disease - 2488
Influenza and pneumonia - 507
Kidney disease - 215
Stroke - 675
Suicide - 174
Unintentional injuries - 577
"
44.240459,-114.478828,"Idaho
Alzheimer's disease - 607
Cancer - 2884
CLRD - 865
Diabetes - 375
Heart disease - 2969
Influenza and pneumonia - 207
Kidney disease - 190
Stroke - 682
Suicide - 351
Unintentional injuries - 849
"
40.349457,-88.986137,"Illinios
Alzheimer's disease - 3877
Cancer - 24389
CLRD - 5632
Diabetes - 2781
Heart disease - 25013
Influenza and pneumonia - 2178
Kidney disease - 2518
Stroke - 5658
Suicide - 1415
Unintentional injuries - 5508
"
39.849457,-86.258278,"Indiana
Alzheimer's disease - 2678
Cancer - 13424
CLRD - 4214
Diabetes - 1992
Heart disease - 13952
Influenza and pneumonia - 962
Kidney disease - 1411
Stroke - 3040
Suicide - 1034
Unintentional injuries - 3496
"
42.011539,-93.210526,"Iowa
Alzheimer's disease - 1415
Cancer - 6432
CLRD - 2006
Diabetes - 847
Heart disease - 6937
Influenza and pneumonia - 504
Kidney disease - 352
Stroke - 1388
Suicide - 451
Unintentional injuries - 1608
"
38.5266,-96.726486,"Kansas
Alzheimer's disease - 855
Cancer - 5484
CLRD - 1654
Diabetes - 727
Heart disease - 5672
Influenza and pneumonia - 522
Kidney disease - 533
Stroke - 1363
Suicide - 514
Unintentional injuries - 1444
"
37.66814,-84.670067,"Kentucky
Alzheimer's disease - 1728
Cancer - 10363
CLRD - 3486
Diabetes - 1479
Heart disease - 10519
Influenza and pneumonia - 888
Kidney disease - 1034
Stroke - 2057
Suicide - 756
Unintentional injuries - 3194
"
31.169546,-91.867805,"Louisiana
Alzheimer's disease - 2195
Cancer - 9149
CLRD - 2221
Diabetes - 1324
Heart disease - 10943
Influenza and pneumonia - 720
Kidney disease - 1153
Stroke - 2322
Suicide - 677
Unintentional injuries - 2710
"
44.693947,-69.381927,"Maine
Alzheimer's disease - 577
Cancer - 3275
CLRD - 928
Diabetes - 463
Heart disease - 2907
Influenza and pneumonia - 231
Kidney disease - 239
Stroke - 663
Suicide - 226
Unintentional injuries - 909
"
39.063946,-76.802101,"Maryland
Alzheimer's disease - 1178
Cancer - 10911
CLRD - 2072
Diabetes - 1358
Heart disease - 11390
Influenza and pneumonia - 1025
Kidney disease - 823
Stroke - 2709
Suicide - 586
Unintentional injuries - 2271
"
42.230171,-71.530106,"Massachusetts
Alzheimer's disease - 1708
Cancer - 12717
CLRD - 2674
Diabetes - 1268
Heart disease - 11921
Influenza and pneumonia - 1251
Kidney disease - 1139
Stroke - 2468
Suicide - 631
Unintentional injuries - 3831
"
43.326618,-84.536095,"Michigan
Alzheimer's disease - 4249
Cancer - 20870
CLRD - 5572
Diabetes - 2672
Heart disease - 25304
Influenza and pneumonia - 1672
Kidney disease - 1791
Stroke - 4874
Suicide - 1364
Unintentional injuries - 5313
"
45.694454,-93.900192,"Minnesota
Alzheimer's disease - 2219
Cancer - 9857
CLRD - 2369
Diabetes - 1265
Heart disease - 7825
Influenza and pneumonia - 529
Kidney disease - 588
Stroke - 2197
Suicide - 745
Unintentional injuries - 2697
"
32.741646,-89.678696,"Mississippi
Alzheimer's disease - 1485
CLRD - 2116
Diabetes - 1084
Heart disease - 7865
Influenza and pneumonia - 785
Kidney disease - 763
Stroke - 1705
Suicide - 383
Unintentional injuries - 1803
"
38.4456085,-92.678696,"Missouri
Alzheimer's disease - 2302
Cancer - 12696
CLRD - 3961
Diabetes - 1508
Heart disease - 14579
Influenza and pneumonia - 1150
Kidney disease - 1483
Stroke - 3069
Suicide - 1133
Unintentional injuries - 3625
"
46.921925,-110.45353,"Montana
Alzheimer's disease - 314
Cancer - 2031
CLRD - 722
Diabetes - 311
Heart disease - 2138
Influenza and pneumonia - 147
Kidney disease - 155
Stroke - 440
Suicide - 267
Unintentional injuries - 626
"
41.12537,-98.268082,"Nebraska
Alzheimer's disease - 634
Cancer - 3477
CLRD - 1117
Diabetes - 501
Heart disease - 3322
Influenza and pneumonia - 342
Kidney disease - 220
Stroke - 787
Suicide - 246
Unintentional injuries - 772
"
38.313515,-117.055374,"Nevada
Alzheimer's disease - 686
Cancer - 5214
CLRD - 1778
Diabetes - 580
Heart disease - 6457
Influenza and pneumonia - 567
Kidney disease - 274
Stroke - 1096
Suicide - 650
Unintentional injuries - 1395
"
43.452492,-71.563896,"New Hampshire
Alzheimer's disease - 430
Cancer - 2875
CLRD - 684
Diabetes - 316
Heart disease - 2631
Influenza and pneumonia - 203
Kidney disease - 161
Stroke - 490
Suicide - 244
Unintentional injuries - 924
"
40.298904,-74.521011,"New Jersey
Alzheimer's disease - 2435
Cancer - 16377
CLRD - 3064
Diabetes - 1949
Heart disease - 18597
Influenza and pneumonia - 1208
Kidney disease - 1535
Stroke - 3401
Suicide - 687
Unintentional injuries - 3839
"
34.840515,-106.248482,"New Mexico
Alzheimer's disease - 583
Cancer - 3560
CLRD - 1131
Diabetes - 678
Heart disease - 3800
Influenza and pneumonia - 353
Kidney disease - 293
Stroke - 885
Suicide - 471
Unintentional injuries - 1487
"
42.165726,-74.948051,"New York
Alzheimer's disease - 3349
Cancer - 35368
CLRD - 6860
Diabetes - 4038
Heart disease - 44076
Influenza and pneumonia - 4513
Kidney disease - 2385
Stroke - 6258
Suicide - 1679
Unintentional injuries - 7354
"
35.630066,-79.806419,"North Carolina
Alzheimer's disease - 4153
Cancer - 19523
CLRD - 5311
Diabetes - 2811
Heart disease - 18266
Influenza and pneumonia - 1896
Kidney disease - 2002
Stroke - 4940
Suicide - 1373
Unintentional injuries - 5476
"
47.528912,-99.784012,"North Dakota
Alzheimer's disease - 361
Cancer - 1253
CLRD - 314
Diabetes - 171
Heart disease - 1338
Influenza and pneumonia - 134
Kidney disease - 106
Stroke - 311
Suicide - 140
Unintentional injuries - 371
"
40.388783,-82.764915,"Ohio
Alzheimer's disease - 5031
Cancer - 25509
CLRD - 7015
Diabetes - 3568
Heart disease - 27410
Influenza and pneumonia - 2187
Kidney disease - 2262
Stroke - 5987
Suicide - 1707
Unintentional injuries - 7999
"
35.565342,-96.928917,"Oklahoma
Alzheimer's disease - 1590
Cancer - 8115
CLRD - 2794
Diabetes - 1393
Heart disease - 10209
Influenza and pneumonia - 546
Kidney disease - 577
Stroke - 1859
Suicide - 822
Unintentional injuries - 2592
"
